Have you developed a game?,What region are you based?,Where are you located?,What platforms do you build for?,What is the primary engine you use in developing games?,What category of games do you mostly create?,Which of these best describe you?,How long have you been operating?,How many employees do you have?,What percentage of your employees reside outside your main country of operation?,What is the ratio of male to female in your organisation?,"To date, how many games do you have published?",Which of these core competences do you have in your teams?,What was your 2022 revenue?,What are your sources of revenue?,What percentage of your revenue comes from outside your country of operation?,What's your gender?,What's your age group?,How long have you been making games?,Is game development a full time occupation for you?,"If you work at a game studio, where is the studio located?","To date, how many games do you have published?",Which of these core competences do you possess?,Do you earn any income from making games?,What is your main source of income?,What percentage of your income comes from outside your country of residence?,Have you ever raised external funding?,"If yes, from what source? Select all that apply.",How much external funding have you raised?,Have you applied for or participated in any accelerator or support programme?,Were you successful?,Please list the ones you applied to below even if you were not successful.,Did you or your studio attend any international gaming events?,"If yes, please name some of the gaming events you've attended",How important are the following to the development of the games industry in your country? [Power supply],How important are the following to the development of the games industry in your country? [High speed internet],How important are the following to the development of the games industry in your country? [Affordable internet],How important are the following to the development of the games industry in your country? [Training opportunities],How important are the following to the development of the games industry in your country? [Community events],How important are the following to the development of the games industry in your country? [Co-working space],How important are the following to the development of the games industry in your country? [Industry associations],How important are the following to the development of the games industry in your country? [Mobile network operators (like MTN or Safaricom)],How important are the following to the development of the games industry in your country? [Alternative payment methods (like mobile money)],How important are the following to the development of the games industry in your country? [Government support],How would you rate the current state of these infrastructure in your country? [Power supply],How would you rate the current state of these infrastructure in your country? [High speed internet],How would you rate the current state of these infrastructure in your country? [Affordable internet],How would you rate the current state of these infrastructure in your country? [Training opportunities],How would you rate the current state of these infrastructure in your country? [Community events],How would you rate the current state of these infrastructure in your country? [Co-working space],How would you rate the current state of these infrastructure in your country? [Industry associations],How would you rate the current state of these infrastructure in your country? [Mobile network operators (like MTN or Safaricom)],How would you rate the current state of these infrastructure in your country? [Alternative payment methods (like mobile money)],How would you rate the current state of these infrastructure in your country? [Government support],What is your outlook for the African games industry in the next 3 years?,What type of support does the industry need to succeed?,"Please leave us a comment, this can be something specific to your market that we have not captured.", , , , , , 
"Yes, I/we have developed game(s)",West Africa,"Ijebu-Ode, Nigeria","Mobile, PC, Console",GDevelop,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,18 - 24,2 - 5 years,I am a part-time indie game developer,"Ijebu-Ode, Nigeria",1 - 5,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Audio, Animation, Vfx","No, I don't",Work for hire as a freelancer,"Zero, I earn all my income from my country of residence",No,,Less than $10K,Yes,No,Africa Game Co-Production Marketplace by SpeilFabrique,"No, I haven't",,Critical,Critical,Critical,Important,Critical,Important,Very Important,Important,Very Important,Critical,Poor,Poor,Poor,Really Poor,Really Poor,Really Poor,Poor,Really Poor,Really Poor,Really Poor,3,"Mainly  funding, and a  more welcoming community within our borders. We also need to bridge the gap between African game developers and other game devvelopers, publishers and investors scattered across the  globe",,,,,,,
"Yes, I/we have developed game(s)",Southern Africa,"Cape Town, South Africa","Mobile, PC, Console",Proprietary Engine,Entertainment Games,Game studio,5 - 10 years,1 - 5,0%,"Male 75%, Female 25%",1 - 5,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Animation, Vfx",$50k - $100k,"Revenue from games, Work for hire",75 - 100%,,,,,,,,,,,No,,Less than $10K,No,,,"Yes, I have","GDC, A MAZE ./ Berlin, Africa Games Week, Playtopia",Critical,Critical,Critical,Important,Critical,Important,Important,Unimportant,Unimportant,Important,Poor,Very Good,Very Good,Poor,Good,Poor,Poor,Good,Good,Really Poor,4,Funding,,,,,,,
"Yes, I/we have developed game(s)",Southern Africa,"Johannesburg, South Africa",PC,Unity,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,35 - 44,5 - 10 years,"No, I develop games in my spare time",,5 - 10,"Development/Programming, Game Design, UI/UX, Narrative, QA","Yes, I do",Work,75 - 100%,No,,,No,,,"No, I haven't",,Very Important,Very Important,Very Important,Important,Important,Important,Unimportant,Unimportant,Unimportant,Unimportant,Really Poor,Good,Poor,Poor,Poor,Poor,Really Poor,Really Poor,Poor,Really Poor,1,Funding,,,,,,,
"No, I/we have not yet developed a game",Southern Africa,"Johannesburg, South Africa",PC,Godot,Entertainment Games,Hobby/Part time game developer,,,,,,,,,,Male,18 - 24,Less than a year,"No, I develop games in my spare time",,None,"Development/Programming, Art (2D/3D, Game Design, Animation","No, I don't",Work for hire as a freelancer,50 - 75%,No,,,No,,,"No, I haven't",,Critical,Important,Important,Very Important,Critical,Unimportant,Very Important,Unimportant,Important,Very Important,Really Poor,Good,Poor,Really Poor,Really Poor,Really Poor,Really Poor,Good,Poor,Really Poor,3,"I think networking and contact between small creators needs to be better facilitated, especially between neighboring African countries.",,,,,,,
"No, I/we have not yet developed a game",Southern Africa,"Pretoria, South Africa",PC,Godot,Entertainment Games,Hobby/Part time game developer,,,,,,,,,,Male,25 - 34,5 - 10 years,"No, I develop games in my spare time",,None,"Development/Programming, UI/UX","No, I don't",Work for hire as a freelancer,5 - 25%,Not applicable,,,No,No,,"No, I haven't",,Critical,Very Important,Important,Unimportant,Important,Important,Very Important,Important,Important,Unimportant,Poor,Good,Good,Good,Poor,Good,Poor,Very Good,Very Good,Poor,3,Awareness and out reach to younger generations,,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Enugu, Nigeria",Mobile,Unity,Entertainment Games,Hobby/Part time game developer,,,,,,,,,,Male,25 - 34,Less than a year,"No, I develop games in my spare time",,1 - 5,Development/Programming,"No, I don't",Software Development ,"Zero, I earn all my income from my country of residence",Not applicable,,,No,,,"No, I haven't",,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Poor,Poor,Poor,Really Poor,Really Poor,Good,Poor,Poor,Poor,Really Poor,4,Community and hands on learning opportunities for newbies ,Internship opportunities for newbies,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Accra, Ghana","Mobile, PC, Web & VR",Unity,"Entertainment Games, Serious/Educational Games, Kids Games",Game studio,5 - 10 years,5 - 10,5 - 25%,"Male 25%, Female 75%",1 - 5,"Development/Programming, Game Design, UI/UX, AR/VR",$10k - $50k,"Building third party games, Grants & Development Agencies",5 - 25%,,,,,,,,,,,Yes,Grant funding from international agency,$100k - $500k,Yes,Yes,"Digital Labs Africa, Black Founders Fund","Yes, I have",Africa Games Week,Important,Critical,Critical,Important,Important,Important,Important,Critical,Important,Important,Good,Good,Poor,Good,Good,Good,Good,Good,Good,Good,4,"Cheaper connectivity, Access to financing",,,,,,,
"Yes, I/we have developed game(s)",Southern Africa,"Johannesburg, South Africa","PC, Vr",Unity,"Entertainment Games, Serious/Educational Games, Corporate/Training Games",Employee at a games studio,,,,,,,,,,Male,25 - 34,5 - 10 years,"Yes, I work as a full time game developer at a game studio",Johannesburg ,1 - 5,"Development/Programming, Art (2D/3D","Yes, I do",Salary from my job as a game developer,5 - 25%,No,,,No,,,"No, I haven't",,Critical,Critical,Critical,Critical,Very Important,Unimportant,Critical,Unimportant,Unimportant,Unimportant,Really Poor,Poor,Poor,Poor,Poor,Really Poor,Poor,Good,Good,Really Poor,3,"Co working spaces would be rad, but mostly for internet reasons ",,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Accra, Ghana","Mobile, PC",Phaser,"Entertainment Games, Serious/Educational Games, Kids Games, Corporate/Training Games",Game studio,Over 10 years,10 - 20,25 - 50%,"Male 75%, Female 25%",10 - 20,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Animation, Localization",$250k - $500k,"Building third party games, Revenue from games, Work for hire, Licensing games to 3rd parties",75 - 100%,,,,,,,,,,,Yes,"Investors, Grant funding from international agency",$100k - $500k,Yes,Yes,Africa Game Co-Production Marketplace by SpeilFabrique,"Yes, I have","GDC, Paris Games Week, AGW, Slush, Game Camp, MTN Game Conference, Annecy Film Festival",Critical,Very Important,Critical,Critical,Very Important,Important,Critical,Critical,Very Important,Very Important,Good,Good,Poor,Poor,Good,Good,Good,Good,Good,Poor,4,"Infrastructure: Improving infrastructure is essential to support the growth of the gaming industry in Africa. This includes reliable internet connectivity, affordable and accessible devices (such as smartphones and gaming consoles), and stable power supply. Investing in infrastructure will enhance the gaming experience, facilitate online multiplayer gaming, and enable developers to create and distribute games more efficiently.

Community Development: Building a strong and vibrant gaming community is vital. This involves creating platforms and spaces for developers, designers, and gamers to connect, collaborate, and share knowledge. Local game development associations, meetups, and conferences can play a crucial role in fostering this sense of community. Collaboration and knowledge-sharing within the community can lead to innovation, mentorship opportunities, and overall industry growth.

Funding Opportunities: Access to funding is critical for the growth of the African gaming industry. Many aspiring game developers face challenges in securing financial support to develop and market their games. Governments, private investors, and venture capital firms can help by providing funding programs, grants, and investment opportunities specifically tailored for game developers. Supporting initiatives that provide seed funding, incubators, and accelerators can also enable developers to transform their ideas into market-ready games.

Access to Markets: Expanding access to markets is crucial for African game developers to reach a wider audience and generate sustainable revenue. This includes exploring partnerships with international publishers, distributors, and platforms, as well as promoting African-made games in global gaming events and conferences. Developing local distribution networks, leveraging digital platforms, and collaborating with local publishers and media outlets can help African game developers tap into the domestic market and grow their player base.

Education and Skills Development: Investing in education and skills development is vital to nurture the next generation of African game developers. This includes offering specialized training programs, game development courses, and workshops that equip aspiring developers with the necessary technical and creative skills. Collaboration with educational institutions, game development studios, and industry experts can help establish a robust talent pipeline and foster innovation within the industry.

Regulatory Support: Establishing supportive regulatory frameworks and policies is essential to create an enabling environment for the gaming industry. This includes intellectual property protection, streamlined licensing processes, tax incentives for game development studios, and favorable regulations for cross-border collaboration and distribution. A supportive regulatory environment encourages investment, promotes innovation, and boosts the overall growth of the industry.",,,,,,,
"Yes, I/we have developed game(s)",Southern Africa,"Durban, South Africa",PC,Unity,Entertainment Games,Employee at a games studio,,,,,,,,,,Male,25 - 34,5 - 10 years,"Yes, I work as a full time game developer at a game studio","San Francisco, USA",1 - 5,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Audio, Vfx, Localization","Yes, I do",Salary from my job as a game developer,75 - 100%,Yes,Investors,$50k - $100k,No,,,"No, I haven't",,Critical,Important,Very Important,Important,Important,Unimportant,Important,Unimportant,Unimportant,Very Important,Poor,Good,Good,Poor,Poor,Good,Really Poor,Good,Good,Really Poor,2,A streamlined risk-free financial support system for developers that want to strike it out on their own as indie developers. It's hard to do gamedev if you're risking your livelihood to do so.,,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Lagos, Nigeria","Mobile, PC",Unity,"Entertainment Games, Serious/Educational Games",Indie/solo developer,,,,,,,,,,Female,25 - 34,Less than a year,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Narrative, QA","No, I don't",Job,"Zero, I earn all my income from my country of residence",Not applicable,,,No,,,"No, I haven't",,Important,Important,Important,Critical,Very Important,Unimportant,Critical,Critical,Very Important,Unimportant,Poor,Good,Good,Really Poor,Really Poor,Good,Really Poor,Good,Good,Really Poor,3,"The games industry needs a community to succeed. It is not particularly easy to find other game developers and as such, it's not easy to share opportunities and collaborate on projects. ",,,,,,,
"Yes, I/we are developing a game",Southern Africa,"Cape Town, South Africa","Mobile, PC",Unity,Entertainment Games,Game studio,5 - 10 years,5 - 10,0%,"Male 63%, Female 37%",None,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Audio, Animation",$250k - $500k,Currently our main source of revenue comes from creating animation for the advertisting and marketing industries. ,"Zero, all our revenue comes from our country of operation",,,,,,,,,,,No,,,No,,,"No, I haven't",,Critical,Critical,Critical,Very Important,Very Important,Important,Very Important,Important,Unimportant,Important,Really Poor,Good,Poor,Good,Very Good,Good,Good,Very Good,Very Good,Really Poor,4,I'd like to see more events like Africa Games Week and Playtopia in South Africa. I think there is really amazing support in this country and a lot of industry folks are very friendly and accommodating. ,"Just a note about us, we're an 2D animation studio who has opened up a games division this year. We are still early days and have yet to launch a games so it's hard to answer this survey purely from a 'game dev' perspective as we generate and support our own development. ",,,,,,
"Yes, I/we have developed game(s)",West Africa,"Lagos, Nigeria","Mobile, WebGL",Unity,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,18 - 24,1 - 2 years,"Yes, I am a full time independent game developer",,None,"Development/Programming, Art (2D/3D, Game Design, Animation","No, I don't",Building third party games,"Zero, I earn all my income from my country of residence",No,,Less than $10K,No,No,,"No, I haven't",,Critical,Important,Important,Very Important,Critical,Very Important,Critical,Important,Important,Very Important,Really Poor,Poor,Poor,Really Poor,Really Poor,Poor,Really Poor,Good,Good,Really Poor,4,Funding and community support. ,Successful Game Studios should be more accessible to upcoming and solo developers. ,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Lagos, Nigeria",PC,Godot,"Entertainment Games, Serious/Educational Games, Sports, horror",Indie/solo developer,,,,,,,,,,Male,18 - 24,1 - 2 years,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Art (2D/3D, Game Design, UI/UX","No, I don't",Work for hire as a freelancer,75 - 100%,No,,,No,,,"No, I haven't",,Critical,Important,Important,Important,Important,Very Important,Very Important,Important,Important,Important,Really Poor,Really Poor,Really Poor,Really Poor,Poor,Poor,Really Poor,Really Poor,Really Poor,Really Poor,3,The community needs to be really backed up a lot and host more gatherings to bring more light to others about the possibility of actually making games and maybe even host some sort of trainings for those interested but scared to dive into it themselves ,,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Lagos, Nigeria",Mobile,Unity,Entertainment Games,Freelancer on game projects,,,,,,,,,,Male,18 - 24,Less than a year,"No, I develop games in my spare time",,1 - 5,Development/Programming,"No, I don't","Building third party games, ","Zero, I earn all my income from my country of residence",No,,,No,,,"No, I haven't",,Important,Important,Important,Important,Important,Important,Important,Important,Unimportant,Important,Really Poor,Poor,Really Poor,Poor,Really Poor,Really Poor,Really Poor,Really Poor,Really Poor,Really Poor,4,There should be more collaboration among the industry.,,,,,,,
"Yes, I/we are developing a game",West Africa,"Abuja, Nigeria",Mobile,Unity,"Racing games, TPS battle royale shooter",Indie/solo developer,,,,,,,,,,Male,18 - 24,1 - 2 years,"No, I develop games in my spare time",,None,"Development/Programming, Art (2D/3D, Game Design, UI/UX","No, I don't","My job, not as a game developer","Zero, I earn all my income from my country of residence",No,,,No,,,"No, I haven't",,Critical,Critical,Critical,Critical,Critical,Important,Very Important,Very Important,Important,Unimportant,Really Poor,Poor,Poor,Poor,Poor,Very Good,Poor,Good,Good,Really Poor,4,"The African gaming industry needs more innovation, not support. We keep building casual 2d games and expect people to play. Nah. Look to big titles. Yes, they have a large team of developers and 3d artists, but it's not something we cannot do here in Africa. We can start small and move up from there! Most of the bootcamps I've seen are for building 2d games or at best, endless runner games. That won't fly. Let us begin to make games that are up to the level of the big players in the global gaming industry. Africa is ripe for an awakening. We need innovation, not support. Nobody will support mediocrity!",,,,,,,
"Yes, I/we are developing a game",West Africa,"Lagos, Nigeria","Mobile, PC, Ios",Unity,Entertainment Games,Game studio,2 - 5 years,20 - 50,5 - 25%,"Male 80%, Female 20%",None,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Audio, Animation, Vfx, QA, Economist",Less than $1k,Other products ,5 - 25%,,,,,,,,,,,No,,,Yes,,Black founder fund,"No, I haven't",,Critical,Very Important,Very Important,Critical,Important,Important,Important,Very Important,Important,Important,Poor,Poor,Good,Poor,Poor,Good,Good,Good,Good,Poor,4,"Funding for us is important, because we have been bootstrapping all long. Availability of technical know-how, not just free lance individual but people with are willing to join the team and make the game like it's theirs.","Game development in Africa is still like a new topic, we need to improve our technical skill and art for better recognition, both local and global.",,,,,,
"Yes, I/we have developed game(s)",Southern Africa,"Johannesburg, South Africa","Mobile, PC",Unity,Serious/Educational Games,Employee at a games studio,,,,,,,,,,Male,25 - 34,1 - 2 years,"Yes, I work as a full time game developer at a game studio",Sandton,None,"Development/Programming, Game Design, AR/VR","Yes, I do",Salary from my job as a game developer,"Zero, I earn all my income from my country of residence",Not applicable,,,No,,,"No, I haven't",,Critical,Critical,Critical,Critical,Very Important,Very Important,Very Important,Important,Important,Important,Really Poor,Good,Good,Poor,Good,Good,Poor,Good,Good,Really Poor,3,"Funding and most importantly access to a wider audience. In Africa we are very secluded from the well established game companies and connections of Europe, America and Asia which makes it difficult to launch a successful game with enough interest. That being said companies like Free Lives and Nyamakop have done very well on that front but I still don't believe we are looked at as a good opportunity for investors in terms of game development.",,,,,,,
"Yes, I/we are developing a game",Southern Africa,"Johannesburg, South Africa","Mobile, PC, Consulting services/project management",Unity,Entertainment Games,Game studio,1 - 2 years,1 - 5,0%,"Male 90%, Female 10%",None,"Development/Programming, Art (2D/3D, Game Design",$50k - $100k,Project management ,"Zero, all our revenue comes from our country of operation",,,,,,,,,,,Yes,Grant funding from international agency,$10k - $50k,Yes,Yes,,"Yes, I have","Gamescom, Africa Games Week",Critical,Critical,Critical,Very Important,Very Important,Critical,Critical,Critical,Very Important,Critical,Poor,Very Good,Good,Good,Poor,Poor,Good,Good,Poor,Really Poor,4,"Government policy to incentivise investment into the industry and grow small studios through start up or growth matched funding. An angel/VC ecosystem for start up studios. Gaming hubs with adequate infrastructure (computers, high speed internet and back up electricity). Payment systems to enable monetisation on mobile platforms. ",,,,,,,
"Yes, I/we are developing a game",East Africa,"Nairobi, Kenya","Mobile, PC, Console",Unreal,Entertainment Games,Game studio,2 - 5 years,1 - 5,0%,"Male 80%, Female 20%",None,"Development/Programming, Art (2D/3D, Game Design, Narrative, Audio, Animation, Vfx, AR/VR",Less than $1k,None,"Zero, all our revenue comes from our country of operation",,,,,,,,,,,Yes,Grant funding from international agency,$10k - $50k,Yes,Yes,Africa Game Co-Production Marketplace by SpeilFabrique,"Yes, I have",Africa Games Week,Critical,Important,Important,Critical,Important,Unimportant,Important,Important,Important,Unimportant,Good,Good,Poor,Good,Really Poor,Poor,Really Poor,Really Poor,Good,Really Poor,4,Structured/phased funding & support that is milestone based,,,,,,,
"Yes, I/we have developed game(s)",Southern Africa,Zambia,"Mobile, PC",Unity,"Entertainment Games, Serious/Educational Games",Game studio,2 - 5 years,1 - 5,0%,"Male 100%, Female 0%",1 - 5,"Development/Programming, Game Design",Less than $1k,"Building third party games, Work for hire, ",50 - 75%,,,,,,,,,,,Yes,Grant funding from international agency,Less than $10K,Yes,Yes,"Digital lab africa, Black founders fund","Yes, I have","GDC, Africa Games Week, Paris Games Week",Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Good,Good,Very Good,Good,Good,Good,Poor,Good,Good,Poor,4,Infrastructural and funding support to aid in hosting community events such as Game Jam and mentoring sessions which are very important in grooming upcoming developers,,,,,,,
"No, I/we have not yet developed a game",East Africa,"Nairobi, Kenya",VR,Unity,Corporate/Training Games,Indie/solo developer,,,,,,,,,,Male,25 - 34,2 - 5 years,"No, I develop games in my spare time",Remote,None,"Development/Programming, UI/UX, AR/VR","No, I don't",Other,"Zero, I earn all my income from my country of residence",No,,,No,,,"No, I haven't",,Critical,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Good,Good,Good,Poor,Good,Poor,Poor,Good,Good,Really Poor,3,"Skills, Training and Funding",,,,,,,
"Yes, I/we have developed game(s)",East Africa,"Mombasa, Kenya","Mobile, PC",Unity,"Entertainment Games, Serious/Educational Games",Indie/solo developer,,,,,,,,,,Male,18 - 24,2 - 5 years,"No, I develop games in my spare time",,1 - 5,Development/Programming,"Yes, I do",Work for hire as a freelancer,50 - 75%,No,,,No,,,"No, I haven't",,Important,Important,Important,Critical,Critical,Critical,Critical,Important,Critical,Critical,Very Good,Very Good,Very Good,Really Poor,Really Poor,Really Poor,Really Poor,Poor,Poor,Really Poor,3,Having out reach events in schools or institutions to educate students on the game development.,,,,,,,
"Yes, I/we have developed game(s)",Central Africa,"Douala, Cameroon","Mobile, PC, Console",Unreal,Entertainment Games,Game studio,5 - 10 years,5 - 10,25 - 50%,"Male 75%, Female 25%",1 - 5,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Animation",$10k - $50k,"Building third party games, Revenue from games",50 - 75%,,,,,,,,,,,Yes,"Investors, Grant funding from international agency",$50k - $100k,Yes,No,Africa Game Co-Production Marketplace by SpeilFabrique,"Yes, I have","Paris Game Week, Africa Games Week, Gamescom",Critical,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Critical,Poor,Poor,Good,Good,Good,Poor,Good,Good,Poor,Really Poor,4,"The African game industry is growing, but certain areas need attention: infrastructure, community, funding, market access, education, and diversity. Improved internet, strong communities, funding support, global market access, education programs, and diversity initiatives can fuel its growth.
","The game industry in Africa is experiencing steady growth and development. However, certain factors need attention to further enhance its progress. Here's a summary of key points:

Infrastructure: Reliable and affordable internet infrastructure is vital for the industry's growth. Improved broadband connectivity and increased access to high-speed internet will facilitate collaboration, online gaming, and connectivity among developers and gamers.

Community: Building a strong community is crucial. Local game development communities, game jams, conferences, and conventions provide platforms for networking, knowledge sharing, and collaboration among developers, players, and enthusiasts.

Funding: Adequate funding and investment opportunities are necessary to nurture talent and drive innovation. Governments, private investors, and venture capital firms can play a significant role in supporting game developers through grants, funding, and resource access.

Access to Market Needs: Access to the global market is essential for African game developers. Supporting distribution channels, platforms, and marketplaces catering to African developers and facilitating localization, marketing, and distribution infrastructure will enable their products to gain recognition globally.

Education and Skill Development: Investing in game development education and skill-building programs is crucial. Collaborations between studios, educational institutions, and industry experts can design curriculum, provide training, and offer mentorship to aspiring developers, enhancing the industry's competitiveness.

Representation and Diversity: Encouraging diversity and representation is key. Incorporating different cultural perspectives, narratives, and art styles can create unique and engaging gaming experiences that resonate with local and global audiences.

By addressing infrastructure challenges, fostering community engagement, providing funding and investment opportunities, facilitating market access, supporting education and skill development, and promoting diversity, the African game industry can continue to flourish and unlock its full potential.",,,,,,
"Yes, I/we have developed game(s)",East Africa,"Nairobi, Kenya","Mobile, PC",Phaser,"Serious/Educational Games, Adver Games",Employee at a games studio,,,,,,,,,,Male,35 - 44,Over 10 years,"Yes, I work as a full time game developer at a game studio","Nairobi, Kenya",50+,"Development/Programming, Game Design, UI/UX, Narrative, QA, AR/VR","Yes, I do","Salary from my job as a game developer, Work for hire as a freelancer",5 - 25%,Yes,"Government, Investors, Grant funding from international agency, Crowd funding",Over $1m,No,,,"Yes, I have","GDC, PG Connect, Africa Games Week",Very Important,Very Important,Very Important,Critical,Very Important,Important,Important,Important,Very Important,Critical,Good,Good,Good,Poor,Good,Good,Poor,Good,Very Good,Really Poor,4,Project / studio funding + injection of senior / experienced talent,,,,,,,
"Yes, I/we are developing a game",West Africa,"Lagos, Nigeria","Mobile, PC",Unreal,"Entertainment Games, Serious/Educational Games, Corporate/Training Games",Game studio,5 - 10 years,20 - 50,0%,"Male 80%, Female 20%",None,"Development/Programming, Art (2D/3D, Game Design, Animation, Vfx",$500k - $1m,Work for hire,5 - 25%,,,,,,,,,,,Yes,Investors,$10k - $50k,Yes,Yes,"CCHub, GFS, Creativity Pioneers Fund","No, I haven't",,Critical,Critical,Critical,Very Important,Critical,Important,Very Important,Very Important,Very Important,Very Important,Poor,Poor,Good,Good,Poor,Good,Really Poor,Good,Good,Really Poor,4,"We need awareness, industry support, funding and investors",,,,,,,
"No, I/we have not yet developed a game",West Africa,"Lagos, Nigeria","Mobile, PC",Unreal,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,25 - 34,Less than a year,"No, I develop games in my spare time",,None,"Art (2D/3D, Game Design, UI/UX, Narrative, Audio, Animation","No, I don't",Work for hire as a freelancer,5 - 25%,No,,,No,,,"No, I haven't",,Critical,Critical,Critical,Critical,Critical,Important,Critical,Critical,Unimportant,Very Important,Really Poor,Poor,Poor,Good,Good,Poor,Good,Poor,Poor,Poor,3,Infrastructural Development,,,,,,,
"No, I/we have not yet developed a game",Southern Africa,"Johannesburg, South Africa","Mobile, PC",Unreal,Entertainment Games,Game studio,1 - 2 years,5 - 10,0%,"Male 80%, Female 20%",None,"Development/Programming, Narrative, Audio, Animation",Less than $1k,Revenue from games,5 - 25%,,,,,,,,,,,Yes,"Investors, Grant funding from international agency",$10k - $50k,No,,,"Yes, I have","Gamescom, Africa Games Week",Critical,Critical,Critical,Critical,Critical,Important,Critical,Critical,Critical,Critical,Poor,Very Good,Good,Poor,Poor,Poor,Poor,Good,Very Good,Really Poor,3,Accessible and dedicated funding resources for games AND audience development initiatives as well as marketing and such critical post production costs.,,,,,,,
"Yes, I/we have developed game(s)",Southern Africa,"Cape Town, South Africa","Mobile, PC",Unity,"Serious/Educational Games, Adver Games, Corporate/Training Games",Game studio,Over 10 years,20 - 50,5 - 25%,"Male 38%, Female 62%",50+,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Animation, AR/VR",Over $1m,"Building third party games, Work for hire",25 - 50%,,,,,,,,,,,Yes,Investors,Over $1m,No,No,,"Yes, I have","Gamescom, AGW",Very Important,Very Important,Very Important,Important,Very Important,Unimportant,Very Important,Very Important,Very Important,Very Important,Really Poor,Poor,Poor,Poor,Good,Good,Good,Poor,Poor,Really Poor,3,Demand led strategies ,,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Lagos, Nigeria",Mobile,Unity,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,25 - 34,5 - 10 years,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Game Design, AR/VR","Yes, I do","Building third party games, Work for hire as a freelancer",5 - 25%,No,,,No,,,"No, I haven't",,Important,Important,Important,Unimportant,Important,Unimportant,Unimportant,Important,Important,Important,Really Poor,Poor,Poor,Really Poor,Really Poor,Really Poor,Really Poor,Poor,Poor,Really Poor,2,Publicity and funding,,,,,,,
"Yes, I/we are developing a game",West Africa,"Kumasi, Ghana","Mobile, PC",Unity,"Entertainment Games, Serious/Educational Games, Kids Games",Indie/solo developer,,,,,,,,,,Male,18 - 24,1 - 2 years,"No, I develop games in my spare time",,None,"Development/Programming, Art (2D/3D, Game Design","No, I don't","Work for hire as a freelancer, ",5 - 25%,No,,,No,,,"No, I haven't",,Critical,Critical,Critical,Very Important,Very Important,Important,Important,Very Important,Critical,Critical,Good,Good,Good,Poor,Poor,Good,Poor,Good,Very Good,Really Poor,3,Funding indie developers would be great,,,,,,,
"Yes, I/we are developing a game",Southern Africa,"Johannesburg, South Africa","Mobile, PC",Unity,Entertainment Games,Hobby/Part time game developer,,,,,,,,,,Male,25 - 34,5 - 10 years,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Animation","No, I don't",My other job,75 - 100%,No,,,No,,,"Yes, I have","GDC, Africa Games Week, a.Maze Jhb",Critical,Very Important,Very Important,Very Important,Very Important,Unimportant,Important,Important,Important,Important,Really Poor,Poor,Really Poor,Poor,Good,Poor,Good,Good,Poor,Really Poor,3,"Funding, infrastructure, and global awareness",,,,,,,
"Yes, I/we are developing a game",Southern Africa,"South Africa, Ekurhuleni",Mobile,Unity,Adver Games,Indie/solo developer,,,,,,,,,,Female,25 - 34,Less than a year,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Animation","No, I don't","Unemployed, no source of income  at tge moment","Zero, I earn all my income from my country of residence",No,,,No,,,"No, I haven't",,Critical,Very Important,Very Important,Critical,Very Important,Important,Important,Important,Important,Important,Really Poor,Good,Good,Good,Good,Good,Good,Good,Good,Really Poor,4,"Community  needs to be strong, it is hard to find a Community in the gaming industry in my city.",,,,,,,
